path,errors,warnings,AutomatedReadability,ColemanLiau,FleschKincaid,FleschReadingEase,GunningFog,LIX,SMOG
CHANGELOG.md,9,188,5.03,7.87,7.83,57.63,11.28,37.98,11.56
CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
LICENSE.md,0,8,10.61,14.19,10.97,37.97,15.78,53.88,14.01
README.md,0,28,8.3,11.79,9.59,45.8,12.5,44.12,12.41
SECURITY.md,0,11,10.44,11.43,11.95,40.39,12.94,51.88,13.35
docs/api/index.md,0,3,8.26,11.07,8.71,54.94,11.97,41.53,11.91
docs/examples/builds/balloon-block-editor.md,0,3,8.35,11.71,8.97,50.87,10.54,39.62,11.6
docs/examples/builds/balloon-editor.md,0,0,6.85,10.64,7.66,55.94,11.28,34.66,10.91
docs/examples/builds/classic-editor.md,0,0,4.65,8.14,6.46,60.32,10.29,25.73,9.83
docs/examples/builds/document-editor.md,0,2,5.83,8.8,7.38,61.18,11.35,30.46,11.65
docs/examples/builds/inline-editor.md,0,3,6.81,10.44,7.73,56.32,11.22,33.38,11.21
docs/examples/builds/multi-root-editor.md,0,4,6.66,10.02,8.48,52.36,11.94,31.27,11.35
docs/examples/custom/bottom-toolbar-editor.md,0,5,10.06,12.9,10.58,43.25,11.08,45.6,13.16
docs/examples/experiments/mermaid.md,0,2,10.16,12.21,10.19,49.07,11.82,43.33,12.24
docs/examples/framework/content-placeholder.md,0,1,6.2,8.88,7,65.68,8.67,31.67,10.86
docs/examples/framework/data-from-external-source.md,0,0,6.19,8.58,6.76,68.56,9.26,32.6,10.5
docs/examples/framework/using-react-in-a-widget.md,0,0,6.53,9.07,7.26,64.69,10.89,34.08,11.21
docs/examples/how-tos.md,1,30,8.74,8.91,9.72,57.66,12.73,40.19,12.91
docs/examples/index.md,0,14,7.97,9.6,8.97,57.33,12.02,37.51,12.65
docs/features/editor-placeholder.md,0,11,6.5,9.58,8.24,55.27,10.44,34.65,11.13
docs/features/image-upload.md,0,29,8.02,9.93,9.32,53.92,10.7,35.93,12.23
docs/features/index.md,0,77,9.55,10.52,9.96,53.91,11.64,44.63,12.61
docs/features/keyboard-support.md,0,4,8.13,11.55,8.76,51.85,9.13,42.82,10.79
docs/features/math-equations.md,0,34,8.55,11.03,9.37,51.85,10.5,44.66,11.81
docs/features/productivity-pack.md,0,12,7.91,10.01,8.84,56.47,10.7,40.08,11.56
docs/features/read-only.md,0,42,6.87,8.4,8.31,61.47,9.64,34.46,11
docs/features/spelling-and-grammar-checking.md,0,22,10.21,12.63,10.96,42.3,12.81,46.41,13.05
docs/features/toolbar.md,0,28,6.33,9.05,7.34,63.13,8.26,36.68,9.67
docs/features/ui-language.md,0,33,6.33,8.76,7.25,65.03,9.31,37.96,10.71
docs/features/using-file-managers.md,0,9,6.31,9.97,7.5,57,8.63,29.59,10.22
docs/framework/architecture/core-editor-architecture.md,0,70,7.21,9.18,8.33,59.97,10.74,37.25,11.54
docs/framework/architecture/editing-engine.md,7,155,7.93,9.59,8.46,60.85,10.63,39.23,11.57
docs/framework/architecture/intro.md,0,8,7.47,10.68,8.3,55.34,12.09,39.78,11.7
docs/framework/architecture/ui-components.md,0,37,3.52,6.74,5.4,69.37,7.79,31.46,8.87
docs/framework/architecture/ui-library.md,0,53,7.39,9.37,7.96,62.75,9.7,38.1,10.62
docs/framework/contributing/code-style.md,19,140,6.11,9.52,7.12,61.06,8.68,35.4,10.44
docs/framework/contributing/contributing.md,0,42,7.55,9.07,8.1,63.64,10.78,35.02,11.31
docs/framework/contributing/development-environment.md,3,21,8.34,10.44,9.29,53.62,11.01,41.42,12.1
docs/framework/contributing/git-commit-message-convention.md,3,48,6.98,9.62,8.03,59.29,9.4,39.98,10.74
docs/framework/contributing/package-metadata.md,0,36,8.76,9.68,9.37,57.69,10.56,42.04,11.63
docs/framework/contributing/testing-environment.md,0,42,6.02,8.71,7.01,65.29,9.5,32.64,10.64
docs/framework/custom-editor-creator.md,1,8,6.59,9.28,7.68,61.17,10.89,29.21,11.09
docs/framework/deep-dive/localization.md,0,60,9.08,10.71,9.7,53.13,11.51,42.15,12.55
docs/framework/development-tools/inspector.md,0,5,8.12,9.61,9.2,56.39,12.79,40.14,12.94
docs/framework/development-tools/mrgit.md,3,18,7.13,9.39,9.11,53.18,11.68,39.33,12.06
docs/framework/development-tools/package-generator/javascript-package.md,2,27,7.34,10.88,7.75,57.51,8.79,41.64,10.59
docs/framework/development-tools/package-generator/typescript-package.md,4,38,7.38,11,7.64,57.93,8.86,41.68,10.52
docs/framework/development-tools/package-generator/using-package-generator.md,0,7,7.62,10.91,8.59,53.04,9.85,43.23,11.02
docs/framework/development-tools/testing-helpers.md,0,1,7.42,10.5,7.75,59.88,9.07,35.18,10.91
docs/framework/index.md,0,42,8.1,11.33,9,50.94,11.19,41.18,12.09
docs/framework/quick-start.md,2,26,6.81,8.95,8.09,60.62,11.34,37.53,11.94
docs/index.md,0,3,5.81,8.89,7.15,62.23,10.58,37.98,11.11
docs/installation/advanced/content-styles.md,7,8,8.68,8.62,8.62,66.3,11.63,37.17,11.65
docs/installation/advanced/csp.md,0,11,6.69,8.96,7.92,61.26,10.02,33.65,11.42
docs/installation/advanced/dll-builds-collaboration-features.md,0,10,7.52,9.62,8.61,57.79,10.9,37.33,11.68
docs/installation/advanced/dll-builds.md,0,23,6.33,8.84,7.17,65.3,9.42,34.4,10.74
docs/installation/advanced/integrating-from-source-vite.md,2,16,6.65,9.17,7.43,63.69,9.28,34.69,10.78
docs/installation/advanced/integrating-from-source-webpack.md,0,37,8.06,9.58,8.76,59.36,11.23,39.04,11.91
docs/installation/advanced/using-two-editors.md,1,22,5.62,7.66,6.32,72.58,9.25,31.19,10.16
docs/installation/getting-started/api-and-events.md,0,9,5.43,6.94,7.73,64.33,10.96,29.64,11.21
docs/installation/getting-started/configuration.md,1,18,6.9,9.11,7.87,62.04,10.41,39.14,11.04
docs/installation/getting-started/editor-lifecycle.md,1,10,9.02,10.87,10.08,49.48,12.83,39.27,12.89
docs/installation/getting-started/extending-features.md,0,5,6.45,9.45,8.35,54.8,10.14,36.84,10.54
docs/installation/getting-started/getting-and-setting-data.md,0,8,5.92,7.79,7.82,62.74,10.43,33.57,10.69
docs/installation/getting-started/predefined-builds.md,0,80,6.44,9.09,8.05,58.49,10.98,35.81,11.57
docs/installation/getting-started/quick-start-other.md,1,32,6.48,9.23,7.22,64.04,9.07,35.02,10.5
docs/installation/getting-started/quick-start.md,5,30,8.13,10.09,9.19,54.67,12.49,39.5,12.44
docs/installation/index.md,0,10,6.88,8.82,8.01,62.08,11.85,34.92,12.16
docs/installation/integrations/angular.md,0,48,6.76,9.4,8.2,57.75,11.37,36.25,11.87
docs/installation/integrations/css.md,1,16,9.67,11.09,10.29,50.17,13.55,41.1,13.41
docs/installation/integrations/dotnet.md,0,17,9.77,9.47,9.7,60.17,12.87,41.1,12.3
docs/installation/integrations/drupal-real-time-collaboration.md,1,21,9.66,11.06,10.42,49.27,11.63,43.28,12.46
docs/installation/integrations/laravel.md,0,15,10.63,9.95,10.61,55.64,14.06,44.07,13.21
docs/installation/integrations/next-js.md,1,26,7.35,9.07,8.03,63.22,10.62,35.38,11.25
docs/installation/integrations/other.md,1,4,10.81,13.12,12.6,31.43,17.73,52.33,15.9
docs/installation/integrations/overview.md,0,13,8.23,11.77,9.67,44.89,14.34,43.13,12.81
docs/installation/integrations/react.md,7,62,7.14,9.82,8.02,59.36,10.3,37.3,11.12
docs/installation/integrations/vuejs-v2.md,4,35,7.28,9.68,8.62,56.28,11.96,38.34,12.27
docs/installation/integrations/vuejs-v3.md,7,41,7.57,10.04,8.86,54.57,12.11,39.23,12.39
docs/installation/plugins/features-html-output-overview.md,0,5,6.96,9.86,8.28,56.31,10.1,39.64,11.37
docs/installation/plugins/installing-plugins.md,3,21,7.82,9.71,8.81,57.45,11.52,40.72,12.21
docs/installation/plugins/plugins.md,0,6,8.69,11.77,9.75,46.88,10.68,46.58,12.02
docs/installation/working-with-typescript.md,4,8,8.28,11.47,9.23,49.73,12.94,42.37,12.44
docs/support/browser-compatibility.md,0,5,7.51,11.46,8.46,50.11,9.4,42.82,10.59
docs/support/error-codes.md,0,0,8.54,13.01,7.93,50.67,8.51,45.1,9.73
docs/support/index.md,0,2,9.41,12.3,9.3,51.56,13.92,46.33,13.02
docs/support/license-and-legal.md,0,6,10.31,12.1,10.67,46.64,13.92,54.51,13.9
docs/support/license-key-and-activation.md,0,16,7.21,9.38,8.9,55.13,12.54,41.11,12.25
docs/support/managing-ckeditor-logo.md,3,29,6.24,8.18,8.31,59.25,11.17,34.98,11.7
docs/support/reporting-issues.md,0,15,6.21,8.85,7.44,62.69,9.08,32.81,10.71
docs/tutorials/abbreviation-plugin-tutorial/abbreviation-plugin-level-1.md,4,68,7.31,8.53,8.37,62.53,10.14,34.87,10.9
docs/tutorials/abbreviation-plugin-tutorial/abbreviation-plugin-level-2.md,0,113,5.23,6.16,6.12,77.87,8.26,28,8.88
docs/tutorials/abbreviation-plugin-tutorial/abbreviation-plugin-level-3.md,0,136,7.97,8.5,8.72,63.04,10.45,35.5,11.02
docs/tutorials/crash-course/commands.md,0,41,7.19,9.35,7.87,62.48,9.19,38.11,11.21
docs/tutorials/crash-course/data-conversion.md,0,19,8,9.62,8.9,57.87,9.82,37.34,11.21
docs/tutorials/crash-course/editor.md,1,32,5.43,7.82,6.6,68.9,8.4,31.42,9.99
docs/tutorials/crash-course/events-and-observables.md,0,20,8.81,10.07,9.22,57.63,10.62,39.82,12.16
docs/tutorials/crash-course/keystrokes.md,1,24,10.25,9.79,10.33,56.65,11.41,46.18,11.78
docs/tutorials/crash-course/model-and-schema.md,1,37,5.58,7.39,6.35,73.21,8.01,30.53,10.27
docs/tutorials/crash-course/plugin-configuration.md,0,22,8.42,9.6,9.47,55.74,11.14,36.38,11.72
docs/tutorials/crash-course/plugins.md,0,18,6.98,8.62,7.84,64.54,9.93,35.46,10.58
docs/tutorials/crash-course/view.md,0,25,6.98,8.93,7.75,64.02,9.38,36.28,11.14
docs/tutorials/creating-simple-plugin-timestamp.md,1,48,6.53,7.58,7.36,69.63,9.63,32.68,10.22
docs/tutorials/index.md,3,10,10.66,9.79,11.27,51.54,13.96,44.08,13.99
docs/tutorials/widgets/data-from-external-source.md,0,32,7.62,9.21,8.8,58.41,10.32,37.34,11.49
docs/tutorials/widgets/implementing-a-block-widget.md,11,77,6.97,8.45,8,63.95,9.76,34.24,10.68
docs/tutorials/widgets/implementing-an-inline-widget.md,0,23,7.54,9.65,8.64,57.51,10.58,36.37,11.3
docs/tutorials/widgets/using-react-in-a-widget.md,3,33,8.74,9.28,9.2,60.14,11.59,39.52,11.86
docs/updating/changelog.md,0,0,7.85,10.59,8.64,55.4,10.6,39.5,11.46
docs/updating/ckeditor4-configuration-compatibility.md,0,33,7.29,9.31,9,55.05,11.92,39.07,12.13
docs/updating/ckeditor4-plugin-compatibility.md,0,1,7.75,12.01,10.94,30.02,13.67,54.17,12.16
docs/updating/ckeditor4-troubleshooting.md,0,13,6.65,8.62,7.68,64.07,9.92,36.48,11.1
docs/updating/index.md,0,9,11.97,12,12.2,43,16,50.69,15.08
docs/updating/maintaining.md,0,24,10.25,11.03,11.31,45.48,12.96,46.8,13.51
docs/updating/migration-from-ckeditor-4.md,0,23,9.02,10.88,10.29,47.95,12.91,45.34,13.21
docs/updating/release-process.md,0,33,11.21,12.06,11.4,45.41,12.39,47.4,13.94
docs/updating/update-to-25.md,0,25,9.12,11.54,10.12,47.25,12.35,41.76,12.81
docs/updating/update-to-26.md,0,15,5.79,8.76,6.85,64.91,8.25,34.52,9.98
docs/updating/update-to-27.md,0,20,7.52,8.8,8.6,60.84,10.96,38.54,11.86
docs/updating/update-to-28.md,0,5,9.64,14.3,10.93,27.3,17.54,55.56,12.31
docs/updating/update-to-29.md,0,36,6.55,8.88,8.06,59.8,8.83,34.93,10.68
docs/updating/update-to-30.md,0,1,8.2,9.52,9.73,53.23,12.65,40.13,13.3
docs/updating/update-to-31.md,0,8,6.21,8.11,7.43,65.79,9.16,36.89,11.36
docs/updating/update-to-32.md,0,34,7.45,9.73,8.85,55.3,11.79,40.93,12.43
docs/updating/update-to-33.md,0,18,8.51,10.3,9.46,53.7,10.77,41.91,11.5
docs/updating/update-to-34.md,0,24,10.18,10.46,11.01,49.23,13.14,44.68,13.66
docs/updating/update-to-35.md,0,52,8.52,10.12,9.36,55.17,11.08,40.96,11.86
docs/updating/update-to-36.md,0,2,3.78,6.61,5.97,69.25,7.54,31.65,9.99
docs/updating/update-to-37.md,0,32,7.5,10.48,7.92,59.15,8.74,42.24,10.41
docs/updating/update-to-38.md,0,16,9.35,9.45,10.22,54.8,12.81,45.72,13.27
docs/updating/update-to-39.md,0,2,9.52,9.68,11.12,48.26,13.27,43.98,13.82
docs/updating/update-to-40.md,0,70,7.81,10.38,8.78,55,9.44,40.05,11.39
docs/updating/updating-ckeditor-5.md,0,46,8.59,9.48,10.07,52.63,12.93,41.7,13.78
docs/updating/versioning-policy.md,0,47,10.49,10.9,11.66,44.41,12.55,50.3,13.91
external/ckeditor5-commercial/docs/examples/builds/collaborative-document-editor.md,0,13,9.44,11.05,10.22,49.76,12.83,41.62,13.37
external/ckeditor5-commercial/docs/examples/builds/full-featured-editor.md,0,9,10.34,11.15,10.61,50.5,12.05,46.23,12.94
external/ckeditor5-commercial/docs/features/context-and-collaboration-features.md,0,37,8.79,10.76,9.88,50.35,11.85,43.28,12.1
external/ckeditor5-commercial/docs/features/users.md,0,12,8.52,10.68,9.91,49.13,11.08,37.93,11.65
packages/ckeditor5-enter/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-enter/LICENSE.md,0,3,10.44,13.34,10.2,46.12,14.27,56.73,13.48
packages/ckeditor5-enter/README.md,0,1,5.24,8.89,6.89,58.15,10.96,37.61,9.96
packages/ckeditor5-enter/docs/api/enter.md,0,1,4.95,8.24,7.41,51.41,8.16,39.26,9.12
packages/ckeditor5-essentials/CHANGELOG.md,1,28,10.39,15.33,12.11,20.3,13.29,55.91,11.75
packages/ckeditor5-essentials/CONTRIBUTING.md,0,0,6.76,9.84,8.01,57.23,15.31,38.27,13.02
packages/ckeditor5-essentials/LICENSE.md,0,3,10.64,13.59,10.32,45.23,14.69,56.73,13.71
packages/ckeditor5-essentials/README.md,0,1,5.18,7.78,7.09,51.8,9.69,40.59,8.84
packages/ckeditor5-essentials/docs/api/essentials.md,0,0,4.38,6.85,6.67,54.91,7.3,39.18,8.55
